Legend,Temperature (°C),Resistivity (Ω·cm)
Cooling,20.0,0.015683553298868592
Cooling,20.626262626262626,0.021638909871668614
Cooling,21.252525252525253,0.009272548218639098
Cooling,21.87878787878788,8.104045197646087
Cooling,23.13131313131313,8.319823683658505
Cooling,23.757575757575758,8.104045197646087
Cooling,24.383838383838384,7.489710822531652
Cooling,25.01010101010101,7.489710822531652
Cooling,25.636363636363637,7.489710822531652
Cooling,26.262626262626263,7.295461698583146
Cooling,26.88888888888889,7.295461698583146
Cooling,28.141414141414142,6.921946612716499
Cooling,29.393939393939394,6.567554856549063
Cooling,30.02020202020202,6.231307348505227
Cooling,30.646464646464647,6.231307348505227
Cooling,31.272727272727273,6.231307348505227
Cooling,31.8989898989899,5.758937536549851
Cooling,32.525252525252526,5.758937536549851
Cooling,33.151515151515156,5.758937536549851
Cooling,33.77777777777778,5.464089843924334
Cooling,34.4040404040404,5.184337845824908
Cooling,35.03030303030303,5.322376139549369
Cooling,35.65656565656566,5.184337845824908
Cooling,36.282828282828284,4.9189086686665835
Cooling,36.90909090909091,4.546026409311958
Cooling,37.535353535353536,4.546026409311958
Cooling,38.161616161616166,4.3132776793781185
Cooling,38.78787878787879,4.092445283932537
Cooling,39.41414141414141,3.986305817396713
Cooling,40.04040404040404,3.684120349075686
Cooling,40.66666666666667,3.404842319733847
Cooling,41.292929292929294,3.2305202515822504
Cooling,41.91919191919192,2.985627782247705
Cooling,42.54545454545455,2.6877358899652437
Cooling,43.17171717171718,2.4195662490683256
Cooling,43.7979797979798,2.295688620397297
Cooling,44.42424242424242,1.9608274241148722
Cooling,45.05050505050505,1.6313738442718018
Cooling,45.67676767676768,1.5077060948014684
Cooling,46.303030303030305,1.2877841672100219
Cooling,46.92929292929293,1.0714137213794386
Cooling,47.55555555555556,0.9151316902421179
Cooling,48.18181818181819,0.786814625741088
Cooling,48.80808080808081,0.6334492703460951
Cooling,49.43434343434343,0.4870675072690132
Cooling,50.06060606060606,0.4384702031199892
Cooling,50.68686868686869,0.34612237247393784
Cooling,51.313131313131315,0.2804991350445286
Cooling,51.93939393939394,0.2395840583731373
Cooling,52.56565656565657,0.2100857407453774
Cooling,53.1919191919192,0.16583880613168092
Cooling,53.81818181818182,0.13091088201228337
Cooling,54.44444444444444,0.12098706582724345
Cooling,55.07070707070707,0.09061581363126539
Cooling,55.6969696969697,0.07153088208624944
Cooling,56.323232323232325,0.05796895014544583
Cooling,56.94949494949495,0.04229102554931759
Cooling,57.57575757575758,0.02889400962166702
Cooling,58.20202020202021,0.023108196319317077
Cooling,58.82828282828283,0.017307370806197524
Cooling,59.45454545454545,0.012626526081979011
Cooling,60.08080808080808,0.008972725748229497
Cooling,60.70707070707071,0.007663916856958233
Cooling,61.333333333333336,0.006049790991721004
Cooling,61.95959595959596,0.00465176416767538
Cooling,62.58585858585859,0.004187633026278599
Cooling,63.83838383838384,0.0036720389172361823
Cooling,64.46464646464646,0.003393676731611723
Cooling,66.34343434343435,0.003055071635093734
Cooling,66.96969696969697,0.003055071635093734
Cooling,68.22222222222223,0.003055071635093734
Cooling,68.84848484848484,0.003055071635093734
Cooling,69.47474747474747,0.0029758369352797455
Cooling,70.1010101010101,0.002898657224154888
Cooling,70.72727272727273,0.0027502509619181255
Cooling,71.35353535353536,0.0028234792046344017
Cooling,71.97979797979798,0.0027502509619181255
Cooling,72.60606060606061,0.0027502509619181255
Cooling,73.23232323232324,0.0027502509619181255
Cooling,74.48484848484848,0.0027502509619181255
Cooling,75.11111111111111,0.0027502509619181255
Cooling,75.73737373737374,0.0026789219276403316
Cooling,76.36363636363637,0.0026094428449493006
Cooling,76.98989898989899,0.0024758438612846154
Cooling,77.61616161616162,0.0024758438612846154
Cooling,78.86868686868686,0.002411631702433167
Cooling,79.4949494949495,0.002411631702433167
Cooling,80.12121212121212,0.0022881603088971015
Cooling,81.37373737373738,0.002171010438256243
Cooling,82.0,0.0021147042756143324
